FAKE_ACCTCODE,OPT_IN_DATE,FUEL_ONLY_PARENT_ACCT,CLI_AMOUNT,FLEETCOR_OPEN_DATE,CITY,STATE,ZIP,TERM_DAYS,DUE_DAYS,LOCK_DAYS,CREDIT_LIMIT,LOCK_CODE,LOCK_REASON,LOCK_TYPE,DEPOSIT_FLAG,PORTFOLIO,LOB_REPORTING,YEARMONTH,GALLONS,FUEL_SPEND,NONFUEL_SPEND,TOT_SPEND,PAYMENT_AMOUNT,NO_OF_PAYMENT,SNAPSHOT_DATE,CURRENT_BALANCE,UNBILLED_BALANCE,DAYS_PAST_DUE,BAL_1_30,BAL_31_60,BAL_61_90,BAL_90_PLUS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4554.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4554.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4554.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4554.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4554.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
